# filename: cov_2x2pt.txt 
# description: Combined covariance matrix of DMASS angular galaxy custering (w) and 
# galaxy-galaxy lensing. 
# Consists of auto-covariance of 4 galaxy-galaxy lensing spectra (80 bins) and 
# 1 angular clustering spectra (20 bins), and cross-covariance of them 
# Each sub-block has a size of 20x20. Total size is 100x100. 
# 
# if you use this file, cite these papers below:
# http://arxiv.org/abs/1906.01136 
# http://arxiv.org/abs/2104.11319 
# https://arxiv.org/abs/1601.05779 
# 
# bin-index1 	 bin-index2 	 cov-mat 
3 	 78 	 5.0102230e-14
3 	 79 	 3.1644520e-14
3 	 80 	 1.6827630e-14
3 	 81 	 6.7478540e-10
3 	 82 	 3.5223420e-10
3 	 83 	 -5.2550750e-11
3 	 84 	 -8.3596610e-11
3 	 85 	 -3.0692990e-11
3 	 86 	 -5.2608830e-12
3 	 87 	 4.6845720e-12
3 	 88 	 7.4466310e-12
3 	 89 	 7.1130680e-12
3 	 90 	 5.6665910e-12
3 	 91 	 4.0126000e-12
3 	 92 	 2.5701850e-12
3 	 93 	 1.4140900e-12
3 	 94 	 5.8525870e-13
3 	 95 	 6.9288920e-14
3 	 96 	 -2.0514520e-13
3 	 97 	 -3.0022260e-13
3 	 98 	 -2.8588260e-13
3 	 99 	 -2.1546360e-13
3 	 100 	 -1.0184100e-13
4 	 1 	 1.8051160e-10
4 	 2 	 3.1461130e-10
4 	 3 	 5.8428840e-10
4 	 4 	 6.9040230e-09
4 	 5 	 4.7573300e-10
4 	 6 	 1.9096830e-10
4 	 7 	 8.5242490e-11
4 	 8 	 4.2600230e-11
4 	 9 	 2.3186310e-11
4 	 10 	 1.3317780e-11
4 	 11 	 7.7974810e-12
4 	 12 	 4.5871450e-12
4 	 13 	 2.6644320e-12
4 	 14 	 1.5180910e-12
4 	 15 	 8.4353300e-13
4 	 16 	 4.5940290e-13
4 	 17 	 2.4294520e-13
4 	 18 	 1.2621290e-13
4 	 19 	 6.2838580e-14
4 	 20 	 2.6379250e-14
4 	 21 	 5.1560000e-12
4 	 22 	 8.1422410e-12
4 	 23 	 1.2717620e-11
4 	 24 	 1.6845690e-11
4 	 25 	 1.2580790e-11
4 	 26 	 7.7084810e-12
4 	 27 	 4.5933620e-12
4 	 28 	 2.7376960e-12
4 	 29 	 1.6693780e-12
4 	 30 	 1.0563760e-12
4 	 31 	 6.9768040e-13
4 	 32 	 4.7727430e-13
4 	 33 	 3.3437940e-13
4 	 34 	 2.3676770e-13
4 	 35 	 1.7023760e-13
4 	 36 	 1.1718220e-13
4 	 37 	 8.0175370e-14
4 	 38 	 5.2775440e-14
4 	 39 	 3.3260460e-14
4 	 40 	 1.8618790e-14
4 	 41 	 6.7614620e-12
4 	 42 	 1.0711500e-11
4 	 43 	 1.6822880e-11
4 	 44 	 2.2374150e-11
4 	 45 	 1.6490460e-11
4 	 46 	 9.9452260e-12
4 	 47 	 5.8594240e-12
4 	 48 	 3.4719640e-12
4 	 49 	 2.1171170e-12
4 	 50 	 1.3466140e-12
4 	 51 	 8.9678680e-13
4 	 52 	 6.1948080e-13
4 	 53 	 4.3823070e-13
4 	 54 	 3.1298630e-13
4 	 55 	 2.2301900e-13
4 	 56 	 1.5632830e-13
4 	 57 	 1.0693310e-13
4 	 58 	 7.0065840e-14
4 	 59 	 4.3783650e-14
4 	 60 	 2.4585020e-14
4 	 61 	 7.5225310e-12
4 	 62 	 1.1936740e-11
4 	 63 	 1.8806140e-11
4 	 64 	 2.5083240e-11
4 	 65 	 1.8359740e-11
4 	 66 	 1.0997250e-11
4 	 67 	 6.4557060e-12
4 	 68 	 3.8233490e-12
4 	 69 	 2.3367610e-12
4 	 70 	 1.4928450e-12
4 	 71 	 9.9965330e-13
4 	 72 	 6.9426770e-13
4 	 73 	 4.9354730e-13
4 	 74 	 3.5377440e-13
4 	 75 	 2.5261110e-13
4 	 76 	 1.7711110e-13
4 	 77 	 1.2094310e-13
4 	 78 	 7.9115120e-14
4 	 79 	 4.8861860e-14
4 	 80 	 2.6563880e-14
4 	 81 	 8.0066340e-10
4 	 82 	 6.2790600e-10
4 	 83 	 3.3229800e-10
4 	 84 	 -5.0437230e-11
4 	 85 	 -6.5620200e-11
4 	 86 	 -1.4062270e-11
4 	 87 	 5.7696150e-12
4 	 88 	 1.1425930e-11
4 	 89 	 1.1225940e-11
4 	 90 	 9.0076370e-12
4 	 91 	 6.4294650e-12
4 	 92 	 4.0977250e-12
4 	 93 	 2.2423430e-12
4 	 94 	 9.3724080e-13
4 	 95 	 1.1345390e-13
4 	 96 	 -3.2576780e-13
4 	 97 	 -4.7100530e-13
4 	 98 	 -4.4640380e-13
4 	 99 	 -3.4361650e-13
4 	 100 	 -1.6041200e-13
5 	 1 	 8.2108720e-11
5 	 2 	 1.3855900e-10
5 	 3 	 2.4535590e-10
5 	 4 	 4.7573300e-10
5 	 5 	 4.5479470e-09
5 	 6 	 3.8173910e-10
5 	 7 	 1.5048320e-10
5 	 8 	 7.0375870e-11
5 	 9 	 3.7239280e-11
5 	 10 	 2.1123940e-11
5 	 11 	 1.2333120e-11
5 	 12 	 7.2286050e-12
5 	 13 	 4.1903270e-12
5 	 14 	 2.3822500e-12
5 	 15 	 1.3228090e-12
5 	 16 	 7.1566190e-13
5 	 17 	 3.7652910e-13
5 	 18 	 1.9124860e-13
5 	 19 	 9.7576610e-14
5 	 20 	 4.0607140e-14
5 	 21 	 3.1609420e-12
5 	 22 	 5.0222200e-12
5 	 23 	 7.9764960e-12
5 	 24 	 1.2580790e-11
5 	 25 	 1.6776830e-11
5 	 26 	 1.2285910e-11
5 	 27 	 7.3819140e-12
5 	 28 	 4.3847840e-12
5 	 29 	 2.6586550e-12
5 	 30 	 1.6763370e-12
5 	 31 	 1.1048100e-12
5 	 32 	 7.5511410e-13
5 	 33 	 5.2902790e-13
5 	 34 	 3.7485560e-13
5 	 35 	 2.6538670e-13
5 	 36 	 1.8583980e-13
5 	 37 	 1.2690990e-13
5 	 38 	 8.3840120e-14
5 	 39 	 5.2457430e-14
5 	 40 	 2.9327610e-14
5 	 41 	 4.0931990e-12
5 	 42 	 6.5170620e-12
5 	 43 	 1.0387950e-11
5 	 44 	 1.6490460e-11
5 	 45 	 2.2106100e-11
5 	 46 	 1.5964150e-11
5 	 47 	 9.4499130e-12
5 	 48 	 5.5683800e-12
5 	 49 	 3.3725360e-12
5 	 50 	 2.1360580e-12
5 	 51 	 1.4197800e-12
5 	 52 	 9.7990040e-13
5 	 53 	 6.9318370e-13
5 	 54 	 4.9548360e-13
5 	 55 	 3.5300050e-13
5 	 56 	 2.4799000e-13
5 	 57 	 1.6921450e-13
5 	 58 	 1.1132090e-13
5 	 59 	 6.9184430e-14
5 	 60 	 3.7969850e-14
5 	 61 	 4.5303180e-12
5 	 62 	 7.2196540e-12
5 	 63 	 1.1527010e-11
5 	 64 	 1.8359740e-11
5 	 65 	 2.4693020e-11
5 	 66 	 1.7711650e-11
5 	 67 	 1.0425020e-11
5 	 68 	 6.1334940e-12
5 	 69 	 3.7218970e-12
5 	 70 	 2.3673980e-12
5 	 71 	 1.5823410e-12
5 	 72 	 1.0980730e-12
5 	 73 	 7.8061770e-13
5 	 74 	 5.6003490e-13
5 	 75 	 3.9982760e-13
5 	 76 	 2.8096630e-13
5 	 77 	 1.9137980e-13
5 	 78 	 1.2541770e-13
5 	 79 	 7.7452430e-14
5 	 80 	 4.2098350e-14
5 	 81 	 8.3424620e-10
5 	 82 	 7.4308170e-10
5 	 83 	 5.8988600e-10
5 	 84 	 3.2107200e-10
5 	 85 	 -3.6785030e-11
5 	 86 	 -4.1238410e-11
5 	 87 	 3.9652500e-12
5 	 88 	 1.6713710e-11
5 	 89 	 1.7452540e-11
5 	 90 	 1.4218820e-11
5 	 91 	 1.0173960e-11
5 	 92 	 6.5011540e-12
5 	 93 	 3.5703040e-12
5 	 94 	 1.4823420e-12
5 	 95 	 1.7411960e-13
5 	 96 	 -5.1700410e-13
5 	 97 	 -7.5192790e-13
5 	 98 	 -7.1255410e-13
5 	 99 	 -5.4262420e-13
5 	 100 	 -2.5501130e-13
6 	 1 	 3.8740420e-11
6 	 2 	 6.3472850e-11
6 	 3 	 1.0699320e-10
6 	 4 	 1.9096830e-10
6 	 5 	 3.8173910e-10
6 	 6 	 3.0262320e-09
6 	 7 	 3.0564210e-10
6 	 8 	 1.2254040e-10
6 	 9 	 6.0990820e-11
6 	 10 	 3.3883380e-11
6 	 11 	 1.9644900e-11
6 	 12 	 1.1498070e-11
6 	 13 	 6.6601580e-12
6 	 14 	 3.7843320e-12
6 	 15 	 2.1045510e-12
6 	 16 	 1.1340030e-12
6 	 17 	 5.9394490e-13
6 	 18 	 3.0501980e-13
6 	 19 	 1.5546050e-13
6 	 20 	 6.5727060e-14
6 	 21 	 1.9003150e-12
6 	 22 	 3.0230100e-12
6 	 23 	 4.8210000e-12
6 	 24 	 7.7084810e-12
6 	 25 	 1.2285910e-11
6 	 26 	 1.6526640e-11
6 	 27 	 1.1899000e-11
6 	 28 	 7.0736910e-12
6 	 29 	 4.2540300e-12
6 	 30 	 2.6645360e-12
6 	 31 	 1.7492070e-12
6 	 32 	 1.1946840e-12
6 	 33 	 8.3677270e-13
6 	 34 	 5.9319390e-13
6 	 35 	 4.2023580e-13
6 	 36 	 2.9419080e-13
6 	 37 	 2.0129480e-13
6 	 38 	 1.3271430e-13
6 	 39 	 8.3426060e-14
6 	 40 	 4.6406890e-14
6 	 41 	 2.4342550e-12
6 	 42 	 3.8770910e-12
6 	 43 	 6.1962380e-12
6 	 44 	 9.9452260e-12
6 	 45 	 1.5964150e-11
6 	 46 	 2.1612320e-11
6 	 47 	 1.5344070e-11
6 	 48 	 9.0086630e-12
6 	 49 	 5.4001440e-12
6 	 50 	 3.3949170e-12
6 	 51 	 2.2470730e-12
6 	 52 	 1.5499260e-12
6 	 53 	 1.0963000e-12
6 	 54 	 7.8398170e-13
6 	 55 	 5.5893670e-13
6 	 56 	 3.9250820e-13
6 	 57 	 2.6847150e-13
6 	 58 	 1.7616270e-13
6 	 59 	 1.0977750e-13
6 	 60 	 6.0140580e-14
6 	 61 	 2.6840020e-12
6 	 62 	 4.2767970e-12
6 	 63 	 6.8407660e-12
6 	 64 	 1.0997250e-11
6 	 65 	 1.7711650e-11
6 	 66 	 2.4065550e-11
6 	 67 	 1.6979490e-11
6 	 68 	 9.9309550e-12
6 	 69 	 5.9588840e-12
6 	 70 	 3.7613030e-12
6 	 71 	 2.5036320e-12
6 	 72 	 1.7365770e-12
6 	 73 	 1.2344210e-12
6 	 74 	 8.8600120e-13
6 	 75 	 6.3306660e-13
6 	 76 	 4.4469090e-13
6 	 77 	 3.0364940e-13
6 	 78 	 1.9849310e-13
6 	 79 	 1.2289900e-13
6 	 80 	 6.6678790e-14
6 	 81 	 8.2979010e-10
6 	 82 	 7.8050200e-10
6 	 83 	 6.9967870e-10
6 	 84 	 5.6348660e-10
6 	 85 	 3.2058240e-10
6 	 86 	 -1.2947400e-11
6 	 87 	 -1.2913380e-11
6 	 88 	 2.2120100e-11
6 	 89 	 2.6763540e-11
6 	 90 	 2.2428880e-11
6 	 91 	 1.6171330e-11
6 	 92 	 1.0354830e-11
6 	 93 	 5.6932280e-12
6 	 94 	 2.3699540e-12
6 	 95 	 2.8720000e-13
6 	 96 	 -8.1110110e-13
6 	 97 	 -1.1862220e-12
6 	 98 	 -1.1311980e-12
6 	 99 	 -8.8174650e-13
6 	 100 	 -4.0227960e-13
7 	 1 	 1.9324760e-11
7 	 2 	 3.1050090e-11
7 	 3 	 5.0667910e-11
7 	 4 	 8.5242490e-11
7 	 5 	 1.5048320e-10
7 	 6 	 3.0564210e-10
7 	 7 	 2.0385250e-09
7 	 8 	 2.4743380e-10
7 	 9 	 1.0390030e-10
7 	 10 	 5.4934230e-11
7 	 11 	 3.1383570e-11
7 	 12 	 1.8313840e-11
7 	 13 	 1.0596020e-11
7 	 14 	 6.0094550e-12
7 	 15 	 3.3393370e-12
7 	 16 	 1.8050680e-12
7 	 17 	 9.4750090e-13
7 	 18 	 4.8332680e-13
7 	 19 	 2.4772490e-13
7 	 20 	 1.0519090e-13
7 	 21 	 1.1323470e-12
7 	 22 	 1.8003800e-12
7 	 23 	 2.8696900e-12
7 	 24 	 4.5933620e-12
7 	 25 	 7.3819140e-12
7 	 26 	 1.1899000e-11
7 	 27 	 1.6187780e-11
7 	 28 	 1.1507880e-11
7 	 29 	 6.8583550e-12
7 	 30 	 4.2427940e-12
7 	 31 	 2.7692830e-12
7 	 32 	 1.8874630e-12
7 	 33 	 1.3225170e-12
7 	 34 	 9.3769710e-13
7 	 35 	 6.6488250e-13
7 	 36 	 4.6580160e-13
7 	 37 	 3.1873080e-13
7 	 38 	 2.1054260e-13
7 	 39 	 1.3211030e-13
7 	 40 	 7.4628240e-14
7 	 41 	 1.4393080e-12
7 	 42 	 2.2897500e-12
7 	 43 	 3.6535410e-12
7 	 44 	 5.8594240e-12
7 	 45 	 9.4499130e-12
7 	 46 	 1.5344070e-11
7 	 47 	 2.1029710e-11
7 	 48 	 1.4755090e-11
7 	 49 	 8.7199730e-12
7 	 50 	 5.4056530e-12
7 	 51 	 3.5554180e-12
7 	 52 	 2.4476160e-12
7 	 53 	 1.7322260e-12
7 	 54 	 1.2390340e-12
7 	 55 	 8.8423520e-13
7 	 56 	 6.2151170e-13
7 	 57 	 4.2508640e-13
7 	 58 	 2.7955810e-13
7 	 59 	 1.7387790e-13
7 	 60 	 9.5267200e-14
